country,c1_security_apparatus,c2_factionalized_elites,c3_group_grievance,e1_economy,e2_economic_inequality,e3_human_flight_and_brain_drain,p1_state_legitimacy,p2_public_services,p3_human_rights,s1_demographic_pressures,s2_refugees_and_idps,x1_external_intervention
Afghanistan,0.047056426398962126,0.04692570786704802,0.08492396737313095,0.061248249005229224,0.0443638124115764,0.06912213410560179,0.04579889981963796,0.07575201884963526,0.05187694221646671,0.04203716329429578,0.03921231944276374,0.0821494670599647
Albania,0.07526220449436007,0.07812088772800979,0.11746967817892674,0.08565812846088874,0.2978653181542152,0.07646097538331151,0.12154563082594912,0.19436513014856655,0.17030331535945986,0.22992674038003963,0.10549556024748787,0.07009478956778292
Algeria,0.08918109394935393,0.07015914308685749,0.05835544676083376,0.1919122160791869,0.1110731159908155,0.06816090634972002,0.04357688126810498,0.11561147465496417,0.07264403183997148,0.12230793240043779,0.048617157283111556,0.1778029452434851
Angola,0.06847584163664518,0.03421473062373255,0.1270788255077554,0.24056401559171584,0.0383119354507149,0.09396688977247016,0.032958046699946696,0.06681201059190024,0.07395434308121455,0.04071000895998433,0.11210556155326323,0.19262437450228367
Antigua and Barbuda,0.06696340517876981,0.08530044850364504,0.11752901326635126,0.16348313619143115,0.17673410405234238,0.10055062503259404,0.15130539236066207,0.11022195421347229,0.11299913714302043,0.09520574519444731,0.12058994706803161,0.052144019337025976
Argentina,0.3301618957439913,0.048567780203516195,0.13038714701117865,0.18276111469080977,0.07515550462161366,0.14848613156274207,0.1304905975200034,0.0999036129448336,0.10909011685194601,0.1854693617562144,0.17167667004801346,0.16071791896405074
Armenia,0.07288813109008285,0.07554013138855342,0.06821362294667499,0.08794145228094094,0.24289041296136527,0.06655244965173253,0.06397328794350722,0.2359639226490751,0.0793007279530592,0.28460665733928064,0.0540252670077731,0.08397424671597652
Australia,0.34278220924844877,0.053040799528610974,0.11677374097678365,0.2601918390664945,0.3499796752775093,0.32846965115759574,0.35176563467797517,0.2563620630142869,0.15405524800593481,0.3584849635429989,0.19795794589663362,0.3460560335354399
Austria,0.220360551123977,0.1835747266106419,0.11169183421507213,0.19222616353975672,0.3058195160394248,0.19247609089582066,0.2776296631950354,0.23327948095512097,0.41329724557796627,0.26067767878817716,0.4197731971782686,0.5541568364257445
Azerbaijan,0.07988201130756292,0.019252374973735425,0.10764444854644425,0.16801335794695038,0.15535653402431043,0.11783713210717778,0.059561687304890455,0.08355917362187522,0.0982851660826094,0.18098047565354788,0.07317272966080378,0.07605114499728233
Bahamas,0.09488938346902007,0.0585446857181995,0.2194920974934172,0.10815830124006383,0.19954245086886452,0.1313151476449687,0.3382186967530082,0.10814441705410209,0.18854087447721737,0.05409296023953745,0.15694717475220057,0.1616512636664442
Bahrain,0.1875649799780888,0.08955846399038406,0.16177321287252105,0.08470576501113272,0.11504132825230302,0.0879160315185287,0.083582602042375,0.23703934591002945,0.21450477030860987,0.11564859676151153,0.23352034785148118,0.07344004894726483
Bangladesh,0.06027995767782017,0.029964533181442356,0.05317588895910084,0.1366109858075481,0.17513514253410403,0.07490981208588918,0.07216668108463219,0.039170371170515465,0.04509348520642724,0.09047277677001155,0.0844450371413261,0.08551180662477557
Barbados,0.08174122989985252,0.04890204739254802,0.23990628747446338,0.07421467600395594,0.19515060574200863,0.1247045032729422,0.48127073897212086,0.1401098764832069,0.09720324538987284,0.07115672217219755,0.2685917602608003,0.05287941842042918
Belarus,0.07866377801692331,0.056579859598667084,0.08656344882732157,0.10941045145643943,0.2770207928249929,0.16424071894847592,0.02780552842094463,0.2985154713119937,0.04545822250489273,0.20877986695817616,0.1914373691943574,0.05032661660584507
Belgium,0.2169331288144704,0.24818820933046623,0.09746764876176639,0.22007700488565748,0.31782086308186414,0.29018561439241053,0.35549244444967654,0.2394797711042139,0.2712436676302117,0.3056915763341121,0.168263800920838,0.501427052750246
Belize,0.10798765041434358,0.05441903085730879,0.0895806416477617,0.10091058812554551,0.2255493294159838,0.0976479475925553,0.18842962138398675,0.05043662090652101,0.15027103687408824,0.1681391696215483,0.23212407658594283,0.0878624536480186
Benin,0.07272315518007018,0.21305641176400242,0.16526487299404,0.06218613778248339,0.04857260731171908,0.05756502020638809,0.112785942833531,0.03285503696791224,0.06482055978189581,0.08517290171436728,0.12317716496530205,0.11570033806190787
Bhutan,0.22097128622808734,0.031186012989878182,0.10109692495468948,0.1882282086415787,0.23754519274508057,0.07092732210830109,0.34998309694400015,0.09291146756831184,0.17747065745057156,0.08727480216906534,0.10157095922822953,0.08990682514166856
Bolivia,0.0607024889144859,0.03240211759732736,0.1128852899639236,0.09695891410941743,0.04166522352620642,0.06682502767082746,0.047429897357435774,0.07599840161728064,0.06613484963883054,0.08269581491071386,0.16168597117607997,0.14996954746524704
Bosnia and Herzegovina,0.16123903641936263,0.022509225687923108,0.1062038793556052,0.06729847553266487,0.21196665639166717,0.08181590694774026,0.10077461960805435,0.1905265291237961,0.10562571500781501,0.2234595214101365,0.07091898337110097,0.07867044150947243
Botswana,0.08483513729391885,0.06525949484385811,0.14274400439834609,0.07667158913012748,0.05551734672871954,0.08570319079772248,0.30954026994500117,0.06281800196389425,0.041751107260656624,0.07534260106807127,0.24214464722683113,0.27421500928137393
Brazil,0.07383989257902848,0.15838170888458342,0.10303767070467788,0.2530153859018763,0.08875817337069636,0.11282268444899213,0.10061370415325131,0.10069567623454177,0.15132280125570505,0.1251096458168895,0.10348819812564808,0.16849470012788773
Brunei Darussalam,0.1624780520781924,2.474360431633642e-16,0.07496574597499728,0.08875869454096612,0.037004465215162534,0.09464434961847469,0.04617851755551199,0.2785382056142874,0.064756304461072,0.27862448248795146,0.5140801774231764,0.15571851927631014
Bulgaria,0.1107028841887115,0.10538445024262914,0.09478347503741101,0.106849937059667,0.18510274406938,0.13279230397363273,0.19500859821429214,0.11185856013563056,0.18695583871533572,0.18594478604065143,0.10459056456146681,0.13468571776343752
Burkina Faso,0.0930305263808759,0.03364656069868202,0.15159342402530152,0.08824817780463358,0.05707146999697334,0.06132056366269376,0.09133858819585218,0.0279125191207102,0.06918295196260206,0.03881506875834887,0.11753456553679055,0.06314362483125849
Burundi,0.0837103697336385,0.03545326793739014,0.07080775871512224,0.04335627311148192,0.08210169061498637,0.07250785589804616,0.09323492519588998,0.051789978003313725,0.07290311331039025,0.025563955957705484,0.04159241541193217,0.05893997729359999
Cabo Verde,0.04561979233461594,0.0,0.07713892158398696,0.09273531556544884,0.039650847543170865,0.0,0.053704312495180796,0.036892527714080824,0.05237828008789233,0.031899554038490846,0.06148754619013462,0.02571297386132906
Cambodia,0.030306284254191927,0.05742687475244401,0.08821910249633197,0.1326275785943725,0.06760973392742284,0.081492446599148,0.03253035522651248,0.03926834777951195,0.05021913505458899,0.09455229934093154,0.12993879085503404,0.06803101154936905
Cameroon,0.03345787950966807,0.05737870878373903,0.08046694036837797,0.05914946073218522,0.06544701025753732,0.044435473074308084,0.032640584324043646,0.045004011847150305,0.04154889118682092,0.07742574633598338,0.07469538541948462,0.06150428335109673
Canada,0.35173366058929656,0.1355508442208992,0.20223963785922908,0.2021802986654429,0.33933494622954385,0.2787568765215847,0.4178013521185677,0.2996172363823971,0.17266517270799597,0.3348863382460047,0.11931232818971202,0.41980824693143065
Cape Verde,0.08420340909567385,0.0599360744978509,0.15253442504234715,0.12989488264326338,0.09934147615333937,0.03765337208131254,0.1997859649883437,0.12073169295449034,0.27083444608228646,0.07824817581972236,0.07706320140303247,0.04158735131362252
Central African Republic,0.06979543827911568,0.048718705886778166,0.05310312375191396,0.04116079308520191,0.05331605573135382,0.10935310121356372,0.030557389484031628,0.07237760957294993,0.07005308978709512,0.026526252734166186,0.06859775082635014,0.03714789308749062
Chad,0.04279014698932231,0.01553180111689046,0.07855160856659943,0.04409857223546103,0.02519362399690813,0.04686387536965547,0.031425397415739895,0.029190497215454317,0.05281832740878293,0.03117583800581251,0.03271365590998134,0.08288364443052135
Chile,0.24293976573539117,0.19914311652479166,0.0809814126481352,0.11463543105145936,0.10221085472458105,0.2154489611578387,0.39209690215931836,0.08884858245372294,0.07748769954703823,0.1734293088401384,0.25552834057327883,0.3800752576662633
China,0.06867938704865234,0.03267042601358144,0.06977833431528452,0.0979995988606807,0.1513380446305489,0.19832433868551777,0.034113298113360085,0.13866808440167752,0.03942697352807382,0.15748097679834172,0.21265286345835505,0.16642516107887007
Colombia,0.08791677669740518,0.05469510260379208,0.03456792257991319,0.18162971874857506,0.10919102885010495,0.20340274543827494,0.15294476765535053,0.05490262659848942,0.04103041361574601,0.08851869132155779,0.08040652690706321,0.15556180671569353
Comoros,0.08973644157480841,0.060747557019897196,0.07725621480138362,0.043346841430176315,0.08856116577693476,0.0871832494031358,0.07098420012011591,0.042750147642710144,0.07491276618661294,0.06743013586650486,0.1695537816940256,0.11959138271481914
Congo Democratic Republic,0.05056925007288218,0.04727335832291243,0.052564154896320645,0.031621177223125276,0.03812421290099101,0.07296872843681826,0.04652727301820031,0.03224177725447402,0.03883280329027643,0.02341297490744598,0.032020324517754,0.03075154401164558
Congo Republic,0.06838206692077753,0.029142244614107634,0.1312560880293356,0.11428676385097712,0.026240234080653606,0.07579693083177685,0.026863467660398387,0.033945994065133975,0.05192263935940653,0.03724695915914412,0.0756315963806546,0.1116360568727135
Costa Rica,0.20780399449933087,0.06855280048481732,0.1611438437766831,0.09046691460679107,0.13747329860643284,0.15983370352191303,0.3790086132662864,0.1615122813509267,0.41227744807827293,0.2754436312715461,0.09617798136356738,0.09020044486070332
Cote d'Ivoire,0.1113909790762246,0.04460757381363206,0.10507162847464707,0.11872297899449037,0.02742553221863037,0.10769939784378282,0.10779802932830919,0.038037485016349216,0.09415512025882922,0.034361847627402235,0.11600801202416042,0.09080982903469023
Croatia,0.22744799213340594,0.05251975682751076,0.09785839727340742,0.06023246981527006,0.29263587531598,0.10376751374718475,0.26740918165780353,0.18039806082201376,0.23345899147138985,0.22482165301101753,0.1136770129814796,0.10903448988897799
Cuba,0.2549522348914451,0.04221281875551107,0.25994671883085824,0.17123609785887803,0.20305635139140188,0.12102438143382957,0.05940808534570292,0.10576858733827868,0.07598056313176163,0.11189377069048137,0.22583535071320066,0.20891788471953293
Cyprus,0.16355532734859551,0.025720781653556218,0.1857045479122759,0.14101325556190503,0.17737526843510626,0.18388753052755424,0.12975093532552395,0.18225411602024527,0.10414555742101511,0.1706994810972136,0.12287247581108661,0.043787511390218574
Czech Republic,0.14408763192842222,0.18249169484987898,0.1723540611973583,0.17048264561289292,0.241682123434745,0.23936794962081454,0.12630508115858835,0.2033743485539448,0.20492960342783773,0.3960907208618848,0.23101461496989764,0.18141803486875652
Czechia,0.16972502573910525,0.0,0.05510828054942153,0.037872526404593744,0.050000000000000044,0.08017428215347243,0.07418192893071508,0.22890052303829278,0.05587260669577028,0.5291502622129182,0.052486388108147757,0.07872958216222166
C̫te d'Ivoire,,,,,,,,,,,,
Denmark,0.18478674975825574,0.16123864040503394,0.18877703066818066,0.2654560080888325,0.2070453322242009,0.19789078529908405,0.35699705478644694,0.2191794064863028,0.24926260975971373,0.22324599100168444,0.2232449893341856,0.5753557063447432
Djibouti,0.09693836933331262,0.02908123099613498,0.08747189950279571,0.04816321740794242,0.08644643095297931,0.09103362764163314,0.06034634991232966,0.03417905119514121,0.08187433777744482,0.05122282929189446,0.048968961431436024,0.04959073744260561
Dominican Republic,0.09041462206585829,0.06366436637409696,0.10668449553094671,0.07994499343066214,0.19429134767965459,0.09667179213186149,0.05125822859986258,0.0645608551484388,0.15227625493954694,0.05291513934166309,0.3447312676400334,0.1462279517121907
Ecuador,0.056264286006342326,0.024833065660281185,0.08338079250609058,0.07221849584775052,0.10798850700019176,0.18237106245192009,0.10759381896703193,0.0763210775432457,0.17120519599849146,0.07336790724861894,0.06657730884692703,0.09026910182194729
Egypt,0.10873131701647172,0.054967091108681934,0.05071650427381676,0.07840354851230848,0.17230773324071486,0.10264349816439765,0.03156423120654801,0.15790669315309255,0.07512175520575202,0.0685387182090304,0.06894781440475996,0.07116548187375767
El Salvador,0.06839563690871239,0.06331005990291445,0.05592055483361927,0.08279246665068543,0.14016657360413604,0.09316864521899229,0.19247132584529317,0.06341822894405896,0.08834494648199745,0.06960779429780155,0.06744794997865061,0.052179784874435135
Equatorial Guinea,0.15933955991440996,0.017735559847291096,0.05508095824707751,0.19354112004165672,0.05811002291411829,0.21813229780664126,0.024789215484733146,0.06073344261549991,0.057712672146623206,0.062214009411267444,0.3393767930638786,0.16086132053356234
Eritrea,0.08689229259779982,0.048317272517490156,0.16212633708273727,0.05663078580615469,0.13177771776569036,0.1320425270101308,0.059637718222640926,0.04915933406218936,0.08379618687479651,0.04237530573261717,0.06814499759895917,0.09693231004180297
Estonia,0.1721071867656535,0.034256942904658215,0.17994103281279583,0.15438910089912306,0.27167846940697365,0.07596386768666084,0.4154934638395533,0.21020889384331243,0.3744580536243228,0.26941076311455275,0.3142986666676333,0.09568538562524652
Eswatini,0.07856742013183868,0.0,0.1697056274847713,0.0,0.017459426695964075,0.06332299533013855,0.008270254750719824,0.01860807318911969,0.049913419848462294,0.024243661069253113,0.03367175148507373,0.06060915267313261
Ethiopia,0.04971142647937963,0.03886615644289021,0.0697585731501293,0.10934071632349673,0.11515264095518715,0.07216338305361426,0.06263656261753321,0.08457099655785266,0.03460412082153012,0.031624113884597294,0.07690730370383692,0.07700628753804338
Fiji,0.0374802530267014,0.01763849715317149,0.11340737654791821,0.09903502449663959,0.15689469065614906,0.1124768735623833,0.16601870547215522,0.09746068492566878,0.09385539672175348,0.14890847527692422,0.1558939623096215,0.09029731963668848
Finland,0.414995046181689,0.20154488086241829,0.39650847543170886,0.1802912955299656,0.3529980569889603,0.15990825255846355,0.29146729735327037,0.2731222862039453,0.41458386617153226,0.3443949444124873,0.17310412612143963,0.4222865879973195
France,0.39364753635394034,0.028467702341504354,0.08141649659744074,0.14793362240973115,0.24097780475821157,0.08843764000443326,0.25231006759386043,0.1837206368293922,0.3244129182832618,0.20714433529761778,0.16630036513419968,0.33111053893027526
Gabon,0.0925984246257784,0.051914043299743216,0.1127662866026324,0.07105533717428501,0.1322999291949652,0.07735707856877146,0.03281792548012498,0.0479506511887872,0.06500234729377331,0.039526571174606374,0.23553672754169147,0.10779911066100556
Gambia,0.06679667605851924,0.10226236961841516,0.16295849564851256,0.05399447816432868,0.06920111670372626,0.11397356001396831,0.06470258128504354,0.06041264857921877,0.1079669893616651,0.09311837167934049,0.07884870437887086,0.08982340402711789
Georgia,0.1451148884680786,0.06597006741695756,0.05674229353092861,0.06568279606011614,0.18260976108131924,0.08666295699012794,0.043347791653226206,0.2033806028647124,0.14185554895036895,0.23649415812136487,0.0811261782747751,0.10417158455231365
Germany,0.09644285075647867,0.1288671830487626,0.09995605752046391,0.2841204611655769,0.3349337011186174,0.16827164190845476,0.5195919027469547,0.24045587794762888,0.4792305145326578,0.3234737188736776,0.16131833672785698,0.5080956131728126
Ghana,0.251562943813463,0.14740297499726265,0.1803167029974977,0.1252592878694705,0.04703205298384497,0.052129739167948816,0.19267250572957348,0.051841326482384334,0.08215953386868244,0.06482341590182042,0.13430955831364855,0.1323719072204924
Greece,0.1692578072644983,0.32101718358963105,0.11876850249893782,0.21137118669100396,0.2053030152629874,0.1707521374390907,0.167064147793336,0.09440909596092827,0.09206355941985785,0.11317397733626779,0.495666797538757,0.247706083493124
Grenada,0.07052304035531824,0.01245521875133794,0.11282200900087862,0.047603793277282466,0.17463218171908287,0.04464243295816535,0.16752898483638565,0.07096913845472719,0.3169891690526454,0.14602509155462226,0.16647171971462466,0.08713169044142337
Guatemala,0.05198021719981068,0.08174906635754724,0.12937720543036518,0.13970248805084196,0.0655076813891356,0.03816158905013801,0.0472689370760796,0.046329545713571195,0.0376173111006134,0.05648694917812897,0.06967433004218308,0.1383421863671704
Guinea,0.05335933498429016,0.04286795404439131,0.0686573971415884,0.05220511635211604,0.06938824580961347,0.10004084488600982,0.023014583820425077,0.035171489809118855,0.10475886185537467,0.051769524487316185,0.08716034575225262,0.08753361733126232
Guinea Bissau,0.07557963036669246,0.12171757791237772,0.12596521675575784,0.06658209481920248,0.058243768734428006,0.07789920712119669,0.07013234939977539,0.04318159210968073,0.0817327971076912,0.056526474665618026,0.12563468046251783,0.08933853044785221
Guyana,0.07022480284544085,0.016741148131858227,0.06415247521354472,0.16778369069673493,0.2169189944566575,0.06018498815876216,0.15198324260826443,0.0630121220334355,0.21331807318248336,0.06482036444368544,0.07422618180063294,0.10681470256491514
Haiti,0.1132726688456084,0.04673457615661155,0.1451771817633079,0.048100346346910954,0.05815235689960751,0.05042850129066488,0.03841407071163544,0.031240546472306986,0.09562662033346117,0.056296078096588806,0.21101184413817808,0.02725380978778275
Honduras,0.06509389074450583,0.05262743300480711,0.0866009579603201,0.0837370323585526,0.0933006042586436,0.043486436200594995,0.03490782630110748,0.054798761921334475,0.08492731278364048,0.11935117859933404,0.28239887418233756,0.11006488330973226
Hungary,0.1348152902391157,0.1115583909352401,0.162637703404428,0.1249866180540851,0.3027513855054436,0.17139198129044578,0.10566859410491365,0.13796895264016706,0.2068831345142668,0.31531429469158023,0.34919119129918885,0.07318945557082043
Iceland,0.28019203211117455,0.2035651330089026,0.27293445641276726,0.35918639302855565,0.3544559004157022,0.20315855121736226,0.4600870506264979,0.2790564789916562,0.478014364246833,0.24705071637536846,0.2314512918276798,0.28505247828302405
India,0.1402634866432343,0.09121273974459847,0.06545075013790251,0.1137066904809436,0.1482770201783358,0.1113032556093049,0.11332041639527296,0.049789086958014844,0.12400813337823471,0.044975496143175656,0.18709983607871522,0.10466783341851553
Indonesia,0.10835626924233047,0.0300791694337382,0.07539426099888873,0.1844668094626342,0.2073680629525695,0.09583977085947426,0.17766849855733183,0.08954828646179512,0.059330230764711285,0.04068237950899481,0.200160624621367,0.20242182314819993
Iran,0.09252460722112352,0.028696189234955816,0.10097827034948703,0.22287733754884018,0.16788011264556627,0.12184808303590322,0.057691874815871604,0.15279145653491227,0.03733298447394426,0.12974970028636512,0.17557998556934956,0.06274569578763389
Iraq,0.09500283547499412,0.006949819299040073,0.07806324412671226,0.10330732579962493,0.1458907476517062,0.13700134175868733,0.043153176073395416,0.0483882105825179,0.07027322845463622,0.03837415951818529,0.06181548444793068,0.07845910250976097
Ireland,0.3322023610692306,0.136029609582244,0.3669370306325323,0.27813744940012514,0.23860449083028643,0.1523739006183246,0.4545845826921805,0.20331938540843533,0.14364650477072577,0.2133873404866451,0.14838168495509246,0.2836123311697466
Israel,0.040000000000000036,0.025805776852885973,0.03031552426406986,0.0909090909090909,0.032680203916393945,0.0,0.054126587736527385,0.05882352941176469,0.0,0.03534797566467095,0.21122570824010706,0.036852144841890984
Israel and West Bank,0.11259112850199356,0.03647370526508721,0.03868801693904775,0.05147889297471878,0.08117300751629818,0.10232637348337179,0.07600804411113998,0.19424670805775787,0.057052118986928184,0.10760619184450058,0.0503571656859302,0.03599136610775985
Italy,0.18463723646899907,0.1604451528056349,0.12029662489062444,0.12516829555152764,0.258990607900135,0.19299721425262553,0.22107164917652344,0.21449211900914197,0.4030881314731452,0.16307947442896253,0.19642853882207548,0.21559163627174277
Jamaica,0.0715895486958477,0.03177341108198711,0.26979176795681636,0.08581518004311435,0.13886073581372674,0.13767029879734058,0.23087963030323033,0.08220191004672918,0.04547230168699161,0.1352707425134798,0.12532772414373533,0.103721027573033
Japan,0.2029535510385035,0.19541246226981887,0.19412272014894624,0.16818235136855314,0.22727920350486416,0.21646392126764327,0.4909712870711404,0.4798371300050632,0.06206015351418115,0.22735239471781424,0.4589316302016691,0.17504259975407546
Jordan,0.09216325021487266,0.03405874206106816,0.11479070153378362,0.03695457254776455,0.1845306679537683,0.12267330021528765,0.048281943020118734,0.13379228403651028,0.07209696979563804,0.05666157941677659,0.09707845022123839,0.06037750127612057
Kazakhstan,0.18732307282553953,0.011176004898457175,0.1630089069829445,0.09004316458123955,0.27541824237765056,0.08964525843670562,0.050982405631207366,0.19876489309652698,0.03875973413889564,0.15808200302749847,0.21709969237136362,0.2831915084111349
Kenya,0.07076976120983162,0.04942469819288342,0.0886781699498795,0.06661266336353665,0.06169701781244983,0.07205312811442457,0.07236858195483821,0.040533471957711995,0.08079326374108654,0.03637819108247715,0.06682591323899101,0.08339922661572152
Kuwait,0.21528691241760767,0.03579417757563371,0.08007664136827401,0.15287272320806564,0.17168475307126158,0.15014924701806032,0.07252065016258046,0.16117194760677053,0.06599232967478962,0.09999396189958087,0.2281170809179222,0.1498108353669203
Kyrgyz Republic,0.10466252226977162,0.03894677049523824,0.08032407786862984,0.07136173684579912,0.17395057347387055,0.06182542122703121,0.07157694554478476,0.14804101238374823,0.062091541761720506,0.16350500752065728,0.13183540956802245,0.09105165535607
Kyrgyzstan,0.03506314617453952,0.008570991287109789,0.008676156824374786,0.009889605331280436,0.01428498547851606,0.0,0.04285495643554834,0.041190686282711476,0.011135539861205532,0.06148754619013457,0.053704312495180796,0.03506314617453952
